replication,mean_total_time,median_total_time,p95_total_time,p99_total_time,mean_queueing_time,mean_batch_formation_time,mean_batch_validation_time,mean_consensus_time,mean_commit_time,time_weighted_Lq,throughput,num_transactions,num_batches
1,171.4799643563333,167.52953422519568,319.92542124964984,356.33203378485234,0.02221464867341989,150.91664500994838,6.641897118323985,3.9140878956891627,3.3092206572603926,0.0018243597447883558,199.76545454545453,659226,11881
2,171.03654100089793,167.04168661567564,319.42281053088664,354.43052502613665,0.022725831964036772,150.39553386479906,6.702191711446163,3.9106650964039966,3.3365673587272173,0.001916246762722643,200.36878787878788,661217,11919
3,170.8495704602406,166.81971643447469,319.2609507813358,353.7440454446596,0.02312366449919725,150.25498506230795,6.675630326022669,3.9080800786425147,3.317754671199626,0.0019572603109659177,200.16878787878787,660557,11906
4,170.8656129997124,166.64138994187283,319.298353140789,355.42458290937236,0.02166712490017147,150.37902784994404,6.5632822540641955,3.9328607785523397,3.3082946867569887,0.0017580341117147786,199.85454545454544,659520,11891
5,171.48903505833982,167.50716602030025,319.58870011867475,356.12061823502705,0.02347284891732595,150.92644374826372,6.653498016619282,3.9256432689782854,3.2958491147050375,0.002017660899684547,199.6160606060606,658733,11858
6,171.3416971192638,167.31242338573793,319.5847234525445,355.84396114941484,0.022426259414561483,150.76341649997795,6.647439503217242,3.887753173492257,3.3619752032895716,0.0018990506967003146,200.10121212121211,660334,11900
7,171.11086030750022,166.8418009975312,319.8008557126002,356.5103696214808,0.022068482138702186,150.53853185709372,6.662529867964771,3.902869630120573,3.3327011838706992,0.0018127240878392761,200.08969696969697,660296,11890
8,171.34620048311973,167.56510850927953,319.4483297238037,354.33764667538605,0.022679758031093577,150.65295825366204,6.730771417040379,3.9316577572849263,3.327297021627097,0.001914521210111518,200.01636363636365,660054,11879
9,170.81070521327484,166.69629110225515,319.06170730252364,352.52641799260584,0.023118016090089805,150.19709677671375,6.7279220474676205,3.920490159653421,3.2773980180220548,0.001943607547401239,200.03333333333333,660110,11925
10,171.06167486230302,167.02216722410412,319.4226352331498,354.1469828359362,0.022842299704952402,150.40296657287396,6.680476325233068,3.9097513925700973,3.3726776516463963,0.0019110103104517649,200.53878787878787,661778,11908
11,171.11159318689909,167.05280564440272,319.362545235208,354.80692407093085,0.02383418096990157,150.55971331125883,6.634215037927026,3.931270451624655,3.2832185248398025,0.002019313009974337,200.24424242424243,660806,11903
12,171.6013166172596,167.60748344631793,319.7650631113902,354.91733510834825,0.022022537417597007,150.95329352967124,6.685656794466286,3.932403356464646,3.339479256194564,0.0018382490343978254,199.93060606060607,659771,11881
13,171.13995920093717,166.96211303769815,319.62091029922703,354.56261840435684,0.021999035664057382,150.46343697921802,6.752487274708839,3.9198381910688633,3.299419344470771,0.0018436358099226454,200.19181818181818,660633,11902
14,170.99329446185504,166.92538480606345,319.25706303336483,353.1420460572094,0.023312285248492975,150.39266702949595,6.608157231688193,3.943047526098399,3.344421067948508,0.001953894556519905,200.14606060606062,660482,11923
15,171.02917514475087,167.1436975684628,319.2520117364439,354.2375254913975,0.023627118185553936,150.50486863103723,6.603495334327537,3.9060945666022757,3.3246314920807225,0.0020120599588687497,200.03878787878787,660128,11915
16,171.5197059299143,167.46167062353834,319.90052547002955,356.5317032936354,0.022906692460284823,150.83761306253191,6.688941569110104,3.9359895973164245,3.3789173677374236,0.001897151785769642,200.12575757575758,660415,11880
17,171.47377936205575,167.20248558362982,319.9868120528208,357.5795134641909,0.021766751019267973,150.81162164801032,6.691026204982464,3.956779990655791,3.3138690459329934,0.0018120227457549918,199.43878787878788,658148,11874
18,171.07898379598112,167.20357603873026,319.11028356584546,353.3941991364622,0.0222004118003519,150.53155563726415,6.628805456528436,3.9173567416964548,3.31623143167993,0.0018449431860508314,199.94363636363636,659814,11914
19,171.185051386082,167.08357363290816,319.427195128992,354.89797260630445,0.020764844764801154,150.67347186550913,6.582125601823787,3.929541473971376,3.325903002549124,0.001648608903516227,199.62818181818182,658773,11896
20,171.32920965923324,167.25269052949443,319.93963481951357,356.48517280684126,0.02354297953332924,150.70895970977008,6.707938079380906,3.8894133520614336,3.329205326210768,0.0019990744703724064,199.78636363636363,659295,11881
21,170.9674619511868,166.8955408920283,319.17514728754657,353.88388368330794,0.02370021122073475,150.4305201779896,6.630312515974757,3.932339807662099,3.2818042529048372,0.002076523028324766,199.91969696969696,659735,11895
22,171.20864380137266,167.1651583843925,319.33178436559047,353.8924396555604,0.022704534560938388,150.66380572152997,6.593762187338766,3.9244827506808733,3.3457791381410438,0.001886057665725259,200.1539393939394,660508,11898
23,171.28281264757297,167.29403366912265,319.7000311492559,354.9791600142817,0.023182680618439203,150.63888118656217,6.68744450790169,3.9096124959884646,3.342302944786365,0.0019727363860932087,199.63242424242424,658787,11894
24,171.53973924196623,167.47429193395647,319.88809109017205,357.1645707395648,0.02215395819430203,151.03560778333764,6.634164814107233,3.901552110801759,3.2942610301124726,0.0018064358042146295,199.41272727272727,658062,11868
25,170.74047228304033,166.58194836111306,319.09033738925245,356.1556818002803,0.023515444388090046,150.2582715801148,6.595229686287571,3.883812152262482,3.302342354689208,0.0020002732280300296,199.79393939393938,659320,11903
26,170.72989264857193,166.44033558952742,319.1555289385633,353.57154999412154,0.021793055938837777,150.16716166090345,6.700830124482262,3.867226409633977,3.3051628314665282,0.0017644763658500686,200.33,661089,11927
27,171.3387978763784,167.24389557612085,319.7876113919847,354.54342467011304,0.023031816683689782,150.6580609734394,6.677800888314395,3.9057014326471053,3.4022711461513304,0.001965759261084773,200.02030303030304,660067,11886
28,171.35437191905973,167.4306864317714,319.8597632619453,357.15589017022114,0.02270272903439106,150.79987889765312,6.605914251635837,3.9273336347536714,3.326825881714258,0.0019409259843938865,199.77818181818182,659268,11893
29,170.98588079667513,166.96970063230765,319.4276637170787,355.8204652556787,0.021852437378830858,150.45265294834357,6.604014086557609,3.937355061515699,3.3206354400020195,0.001810581829594878,200.18636363636364,660615,11907
30,171.69214568263422,167.73393190658226,319.9294156883866,356.7942117637285,0.02207983116395186,150.98045600639597,6.7856950593735705,3.923226993111157,3.31274672577873,0.0018352301426566167,199.47575757575757,658270,11873
